                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    146,                0.87053,                 0.1681,                0.97246,                 0.7454,                0.77536,                0.71126,                 0.3915,                 1.4741,                0.23165,                0.93476,               0.005215,               0.005215,               0.005215
                    147,                0.85961,                 0.1651,                0.96912,                0.76989,                0.72464,                0.75001,                0.42151,                 1.4469,                0.22561,                0.93788,               0.005182,               0.005182,               0.005182
                    148,                0.85429,                0.16386,                0.96554,                0.76591,                0.75872,                 0.7463,                0.42974,                 1.4189,                0.21903,                0.91859,               0.005149,               0.005149,               0.005149
                    149,                0.83937,                 0.1621,                0.95927,                0.72701,                0.73332,                0.75528,                 0.4328,                 1.4146,                0.21645,                0.93131,               0.005116,               0.005116,               0.005116
                    150,                0.87029,                0.16701,                0.96566,                0.76343,                0.72491,                0.74415,                0.42417,                 1.4411,                0.22101,                0.93002,               0.005083,               0.005083,               0.005083
                    151,                0.87221,                 0.1652,                0.96737,                 0.6909,                0.77748,                0.73777,                0.42186,                 1.4741,                0.21246,                0.93437,                0.00505,                0.00505,                0.00505
                    152,                0.84139,                0.15676,                0.96096,                0.80118,                0.75923,                0.76536,                0.42762,                  1.505,                 0.2167,                0.93035,               0.005017,               0.005017,               0.005017
                    153,                0.85603,                0.16256,                0.96777,                0.78725,                0.74638,                0.74482,                0.43572,                 1.4505,                0.21772,                0.92014,               0.004984,               0.004984,               0.004984
                    154,                0.84033,                0.16035,                0.95471,                0.73348,                0.77777,                0.74576,                0.42201,                 1.4611,                0.21916,                0.91265,               0.004951,               0.004951,               0.004951
                    155,                0.83144,                0.15951,                0.95223,                0.73705,                 0.7029,                 0.7363,                0.43822,                 1.4587,                0.21997,                 0.9182,               0.004918,               0.004918,               0.004918
                    156,                0.84546,                0.16221,                0.96668,                0.69015,                0.76812,                0.72777,                0.39855,                 1.5335,                0.22519,                0.92983,               0.004885,               0.004885,               0.004885
